# 2017-09-13,,,,,,,,,,,,,,,,,,,,
# infinite_sites_model,,,,,,,,,,,,,,,,,,,,
#"# N_list=""""[25""",,50,25,50,100,200,400,800,1600,3200,"6400]""",,,,,,,,,
#"# mu_list=""""[0.01]""""""",,,,,,,,,,,,,,,,,,,,
# ngens=500000,,,,,,,,,,,,,,,,,,,,
# dfe=dfefixed,,,,,,,,,,,,,,,,,,,,
# dfe_str=dfe_fixed s = -0.0,,,,,,,,,,,,,,,,,,,,
# See s column for selection coefficient (concatenated in Excel),,,,,,,,,,,,,,,,,,,,
type,s,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz,count_ratio,observed_heteroz_ratio,expected_heteroz_ratio
S1,0,25,0.01,119762,5004,0,0,0.04010708,5.01735108,46.39168665,1,1,1,6.158217077,6.45E-06,0.249182121,1.61E-07,1,1,
S1,0,50,0.01,245648,4888,0,0,0.01951017,6.297633199,95.45253682,1,1,1,10.51859959,5.37E-06,0.213920468,7.22E-08,1,1,
S1,0,100,0.01,494791,5090,0,0,0.010182423,7.68826838,195.3666012,1,1,1,18.8391111,4.56E-06,0.188943349,3.16E-08,1,1,
S1,0,200,0.01,993941,4966,0,0,0.004971434,9.014455586,395.4063633,1,1,1,33.00162091,3.93E-06,0.166060291,1.40E-08,1,1,
S1,0,400,0.01,1995627,5048,0,0,0.002523148,10.33718876,799.3139857,1,1,1,60.05929821,3.44E-06,0.150115685,6.24E-09,1,1,
S1,0,800,0.01,3996653,5039,0,0,0.001259217,11.78920462,1627.234967,1,1,1,110.5229165,3.49E-06,0.137242772,2.78E-09,1,1,
S1,0,1600,0.01,7989782,4929,0,0,0.000616533,13.1785886,3222.913978,1,1,1,199.2415124,3.09E-06,0.124859464,1.25E-09,1,1,
S1,0,3200,0.01,15998562,4980,0,0,0.000311181,14.49925712,6475.18494,1,1,1,366.6425449,2.73E-06,0.114458717,5.66E-10,1,1,
S1,0,6400,0.01,31993213,4887,0,0,0.000152728,15.88544714,13026.64661,1,1,1,678.1296554,2.44E-06,0.106086504,2.57E-10,1,1,
S6,-0.0005,25,0.01,120644,4932,0,4932,0.039275021,5.050943271,46.32725061,0.9995,0.9995,0.9995,6.140419419,6.39E-06,0.249309165,1.60E-07,0.997109933,1.000509843,0.995833377
S6,-0.0005,50,0.01,244816,4721,0,4721,0.018919038,6.400709104,98.81952976,0.9995,0.9995,0.9995,10.65138148,5.37E-06,0.215215068,7.16E-08,1.012623533,1.00605178,0.991667014
S6,-0.0005,100,0.01,494611,4475,0,4475,0.008966391,7.744017015,203.3763128,0.9995,0.9995,0.9995,18.61648304,4.58E-06,0.187702745,3.19E-08,0.988182666,0.993433992,0.98333611
S6,-0.0005,200,0.01,995049,4004,0,4004,0.004007795,9.312159502,427.765984,0.9995,0.9995,0.9995,33.2930396,3.92E-06,0.16726385,1.40E-08,1.008830436,1.007247724,0.966688868
S6,-0.0005,400,0.01,1998679,3060,0,3060,0.001528671,10.88311029,912.4078431,0.9995,0.9995,0.9995,58.89601798,3.41E-06,0.148752971,6.24E-09,0.980631139,0.990922237,0.933510437
S6,-0.0005,800,0.01,3998424,1227,0,1227,0.000306777,12.8550724,2100.92502,0.9995,0.9995,0.9995,102.3999502,3.44E-06,0.133411522,2.81E-09,0.926504235,0.972084135,0.868067558
S6,-0.0005,1600,0.01,7999209,34,0,34,4.25E-06,13.61980766,3821.970588,0.9995,0.9995,0.9995,133.8149239,2.44E-06,0.103289353,1.26E-09,0.671621703,0.827244885,0.744059298
S6,-0.0005,3200,0.01,16002177,0,0,0,0,13.36497965,-1,0.9995,-1,0.9995,140.5118408,1.43E-06,0.066791522,4.96E-10,0.383239323,0.58354247,0.540011264
S6,-0.0005,6400,0.01,31999001,0,0,0,0,13.20282877,-1,0.9995,-1,0.9995,141.8953471,7.72E-07,0.038323615,1.67E-10,0.209245158,0.361248734,0.309171355
S5,-0.001,25,0.01,120170,4725,0,4725,0.037831779,5.133119747,46.57142857,0.999,0.999,0.999,6.094333286,6.36E-06,0.249025233,1.60E-07,0.989626252,0.999370386,0.991667014
S5,-0.001,50,0.01,245586,4574,0,4574,0.018284298,6.38691945,100.1633144,0.999,0.999,0.999,10.5927606,5.37E-06,0.214217466,7.17E-08,1.007050464,1.001388356,0.98333611
S5,-0.001,100,0.01,496348,3978,0,3978,0.007950816,7.915948085,211.3873806,0.999,0.999,0.999,18.61328921,4.54E-06,0.188305076,3.17E-08,0.988013135,0.996621884,0.966688868
S5,-0.001,200,0.01,994713,3012,0,3012,0.003018868,9.490145399,443.1942231,0.999,0.999,0.999,32.20506605,3.90E-06,0.164676229,1.41E-08,0.97586316,0.991665307,0.933510437
S5,-0.001,400,0.01,1998278,1385,0,1385,0.000692617,11.38963097,1001.066426,0.999,0.999,0.999,55.93831947,3.31E-06,0.146745204,6.31E-09,0.931384834,0.97754744,0.868067558
S5,-0.001,800,0.01,4001657,37,0,37,9.25E-06,12.35680944,1604.972973,0.999,0.999,0.999,74.97156465,2.88E-06,0.115725769,2.84E-09,0.678335019,0.843219408,0.744059298
S5,-0.001,1600,0.01,8003450,0,0,0,0,11.96409124,-1,0.999,-1,0.999,77.73743183,1.69E-06,0.073724013,1.14E-09,0.390166843,0.590455947,0.540011264
S5,-0.001,3200,0.01,16003270,0,0,0,0,11.8356609,-1,0.999,-1,0.999,78.77357621,9.03E-07,0.042493622,3.84E-10,0.21485116,0.371257192,0.309171355
S5,-0.001,6400,0.01,32001254,0,0,0,0,11.71397411,-1,0.999000001,-1,0.999000001,78.42764282,4.69E-07,0.022729492,1.14E-10,0.115652873,0.214254321,0.156244478
S1,-0.002,25,0.01,120636,4483,0,4483,0.03582989,5.150576942,47.71157707,0.998,0.998,0.998,6.089505443,6.36E-06,0.249129841,1.61E-07,0.988842285,0.99979019,0.98333611
S1,-0.002,50,0.01,245607,4051,0,4051,0.016226197,6.58612336,103.2021723,0.998,0.998,0.998,10.56287981,5.31E-06,0.215465425,7.16E-08,1.004209707,1.007222108,0.966688868
S1,-0.002,100,0.01,497129,3089,0,3089,0.006175308,8.160012793,222.8870185,0.998,0.998,0.998,18.41839877,4.53E-06,0.187637675,3.18E-08,0.977668143,0.993089605,0.933510437
S1,-0.002,200,0.01,997597,1472,0,1472,0.001473372,10.01609869,489.5923913,0.998,0.998,0.998,31.33078126,3.81E-06,0.16450231,1.42E-08,0.949370982,0.990617985,0.868067558
