# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=dfe_mixd
# dfe_str=dfe_mixd advprob=0.01 alpha_adv=0.5 alpha_disadv=0.2 beta_adv=0.02 beta_disadv=0.5
# dfe_adv_prob=0.01
# dfe_adv_alpha=1.0
# dfe_adv_beta=0.02
# dfe_disadv_alpha=0.2
# dfe_disadv_beta=0.5
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
M3,25,0.5,3.8159581777535068,3.020965,0.002080153116847405,0.5,0.3865866960011808,0.00036729695311165506,0.5709966341086375,0.000492224098729563
M3,50,0.5,4.499205338329423,2.6813325,0.002165192377423875,0.5,0.21098526000020923,0.00032829025162893944,0.311472718131701,0.0004445101294328891
M3,100,0.5,5.187377517639621,2.3436025,0.0019116671235239555,0.5,0.08358498500106248,0.00018380910423660936,0.12713662519972532,0.000252756058420207
M3,200,0.5,5.878030948121446,2.1853025,0.001760016747898087,0.5,0.03328676174962664,8.309943265507165e-5,0.05205755420501219,0.00011665508548304012
M3,400,0.5,6.5699296911765055,2.57945,0.0020209847734950002,0.5,0.03188251093752026,8.099030915674611e-5,0.047303007605038784,0.00010768900742958155
M3,800,0.5,7.2624522623611485,2.2869625,0.0018058019579361832,0.5,0.010071325774283602,2.7766496981619827e-5,0.015671046494590623,4.2361559576517043e-5
M3,1600,0.5,7.955287040577324,2.471655,0.0019371630762378936,0.5,0.006735237736803845,1.8466030530634538e-5,0.010205831902007205,2.639937805411678e-5
M3,3200,0.5,8.648277995551316,2.3534875,0.0018654272748908417,0.5,0.00364470592877264,2.798311725815526e-5,0.005536482358816494,4.191305296081682e-5
M3,6400,0.5,9.341347057214758,2.2678925,0.001788231882486871,0.5,0.0015762691246751226,1.9023471129498143e-5,0.002491292839610963,3.193250542962036e-5
M3,25,1.0,5.708839432430091,4.6294175,0.002553912504943559,0.6666666666666667,0.5759486000003202,0.00029637630124003085,0.7481669844461756,0.0003266491758925565
M3,50,1.0,7.037626362933359,5.21719,0.003101206668936626,0.6666666666666667,0.5204186120000418,0.00034405805075613037,0.6507840620935432,0.0003868861500243121
M3,100,1.0,8.39455701547726,3.61435,0.0026310102621022783,0.6666666666666667,0.14426919450060338,0.00020255644902175826,0.19482019166709458,0.0002450602627372067
M3,200,1.0,9.76601214499911,4.0244175,0.0029126104137839875,0.6666666666666667,0.11132522662525501,0.00018886739798969822,0.14462430061177808,0.00022265693017635554
M3,400,1.0,11.144846913525079,3.67318,0.002613202305805222,0.6666666666666667,0.04124548624995428,6.537275788776009e-5,0.05541493947693829,7.974894624010195e-5
M3,800,1.0,12.527401403623669,3.50976,0.002522533996588432,0.6666666666666667,0.017632098375385374,2.6327656585041386e-5,0.024050622991541697,3.2723157123663464e-5
M3,1600,1.0,13.911823300392623,3.482245,0.002536950036998408,0.6666666666666667,0.008984299084161207,1.630958190014752e-5,0.012230430611736164,2.0106466547377883e-5
M3,3200,1.0,15.297180795851219,3.6852475,0.002597121054543628,0.6666666666666667,0.00517414725411236,7.269594442593028e-6,0.006970744203508741,8.994098877178071e-6
M3,6400,1.0,16.68300656560909,3.322785,0.002464769724976755,0.6666666666666667,0.002246610471590582,1.4942576638711236e-5,0.003085547575083145,1.9870154803945864e-5
M3,25,2.0,8.37535082253214,6.85981,0.0029359412390453908,0.8,0.7266492079998249,0.00019344038556147702,0.8595817546441246,0.0001853958399880851
