# 2017-09-13
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.025,0.01,0.005,0.0025]"
# ngens=500000
# dfe=InfSites.dfe_neutral
# dfe_str=dfe_neutral
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
N2,25,0.025,299636,12588,0,0,0.04031720815824536,5.0625959497523665,46.7468223705116,1.0,1.0,1.0,6.152853914756274,2.5465434023460034e-6,0.24979420973365427,6.378404859088469e-8
N2,50,0.025,611220,12487,0,0,0.020020618655875275,6.313769182945585,96.89276847921839,1.0,1.0,1.0,10.612496440622557,2.148017179470523e-6,0.214779908265069,2.8679128383354647e-8
N2,100,0.025,1237337,12486,0,0,0.009990214614389398,7.651209815919188,195.63334935127344,1.0,1.0,1.0,18.683662590411004,1.8295991277479516e-6,0.1879185637621585,1.2685131834607906e-8
N2,200,0.025,2486521,12489,0,0,0.004997579041300355,9.000990540598693,397.2144286972536,1.0,1.0,1.0,33.34725871706663,1.578573463915095e-6,0.16692105396492435,5.612602385007984e-9
N2,400,0.025,4990022,12610,0,0,0.002520673117670858,10.352492834700929,795.7739888977003,1.0,1.0,1.0,59.8178761350163,1.6779467898527103e-6,0.14964017008824518,2.49033550453427e-9
N2,800,0.025,9992648,12596,0,0,0.001258939811962607,11.730081355812793,1582.9946014607813,1.0,1.0,1.0,108.17158753860733,1.4170291452600301e-6,0.13524147386974428,1.1120076461322677e-9
N2,1600,0.025,19989287,12414,0,0,0.0006206472139544532,13.09577210032554,3197.25608184308,1.0,1.0,1.0,197.4792724653716,1.235289304015125e-6,0.12358567044996929,5.005829737053392e-10
N2,3200,0.025,39983437,12436,0,0,0.00031093208041739706,14.468847287940754,6384.33177870698,1.0,1.0,1.0,363.158781281253,1.0905828486287075e-6,0.11382556166773339,2.2625655189869692e-10
N2,6400,0.025,79982556,12474,0,0,0.00015593468744245736,15.867230549621345,12926.603976270642,1.0,1.0,1.0,677.9191298656301,9.747508188080892e-7,0.10601969073653866,1.0286241196330702e-10
N2,25,0.01,120071,4990,0,0,0.03990052854207147,5.036353490851246,45.97194388777555,1.0,1.0,1.0,6.1085707494206,6.4061966625468535e-6,0.248455383499147,1.6041259109767306e-7
N2,50,0.01,245380,5103,0,0,0.020372640059405228,6.311948814084277,97.83617479913777,1.0,1.0,1.0,10.788297665458522,5.378321696086081e-6,0.2161582714794441,7.123588592365292e-8
N2,100,0.01,494151,5020,0,0,0.010056673965434691,7.636329785834694,194.5203187250996,1.0,1.0,1.0,18.657003221275467,4.5799806535322105e-6,0.18792877146385029,3.184148406036172e-8
N2,200,0.01,995295,4843,0,0,0.004842331758217366,8.994437829990103,394.8847821598183,1.0,1.0,1.0,32.85713441672783,3.92719969070647e-6,0.1660371656135288,1.4091287505395338e-8
N2,400,0.01,1995958,5038,0,0,0.0025177461624111192,10.283467888602866,800.5944819372767,1.0,1.0,1.0,59.91473533967418,3.4568469631478173e-6,0.14933108274874624,6.255735520927665e-9
N2,800,0.01,3997727,5021,0,0,0.001254388235282361,11.782522418364236,1591.2461661023701,1.0,1.0,1.0,108.17895091289463,3.465932080347422e-6,0.13578994283149337,2.7724361493453126e-9
N2,1600,0.01,7989477,4988,0,0,0.0006239316827329909,13.15362657655814,3167.613472333601,1.0,1.0,1.0,197.63711540381257,3.07818202755141e-6,0.12392960934904224,1.248507384570437e-9
N2,3200,0.01,15994967,4917,0,0,0.00030731472803177825,14.497030347108563,6304.754525116941,1.0,1.0,1.0,362.2824259314451,2.7271413993125772e-6,0.11343543697906426,5.656246451950529e-10
N2,6400,0.01,32001957,5201,0,0,0.0001624949019216264,15.912960041787445,12899.062680253797,1.0,1.0,1.0,693.6592251560813,2.46000799455196e-6,0.10741359450892357,2.5696796787910213e-10
N2,25,0.005,59870,2425,0,0,0.038927682799582634,5.095239685986304,46.301855670103095,1.0,1.0,1.0,6.131330674333704,1.2761024483389823e-5,0.250332499494367,3.2221145599799577e-7
N2,50,0.005,122884,2502,0,0,0.019954380871867673,6.278335666156701,94.5779376498801,1.0,1.0,1.0,10.559160919854579,1.0801240749863352e-5,0.21324724404442624,1.4358637072509566e-7
N2,100,0.005,247601,2486,0,0,0.00994054069183924,7.619008000775441,194.23652453740948,1.0,1.0,1.0,18.51017376661285,9.138740846954097e-6,0.18706958582293412,6.357598511747504e-8
N2,200,0.005,497248,2422,0,0,0.00484719915143995,9.007284091640388,392.2576383154418,1.0,1.0,1.0,32.93252827156354,7.880113652314364e-6,0.1659699895263728,2.820838082081704e-8
N2,400,0.005,998179,2510,0,0,0.0025082718007292974,10.342833299438277,786.5470119521913,1.0,1.0,1.0,59.62233560151233,6.889573897547836e-6,0.14873966379530223,1.2452361348780651e-8
N2,800,0.005,1996949,2561,0,0,0.0012808137993808484,11.725715579115942,1582.598594299102,1.0,1.0,1.0,108.44968411882354,7.81390387396178e-6,0.1350650132337571,5.5439667118307135e-9
N2,1600,0.005,3998673,2543,0,0,0.0006355567907356163,13.131373333103257,3185.6920959496656,1.0,1.0,1.0,199.2355669935315,6.183982253911652e-6,0.12438421409071705,2.497004432267343e-9
N2,3200,0.005,7998548,2602,0,0,0.0003252032520325203,14.44913439289231,6398.913528055342,1.0,1.0,1.0,371.5767615174828,5.527593983066786e-6,0.11486551253703371,1.1331528034571563e-9
N2,6400,0.005,15998562,2511,0,0,0.00015692697608466632,15.933917373323927,12871.761051373955,1.0,1.0,1.0,684.2521002297077,4.879194232317518e-6,0.10693749032354863,5.142089008188661e-10
N2,25,0.0025,30146,1265,0,0,0.040272515997580464,5.081237975187421,46.203952569169964,1.0,1.0,1.0,6.1771081065512385,2.541798465732857e-5,0.24994957496361989,6.355476807076214e-7
N2,50,0.0025,60981,1318,0,0,0.02115603781762147,6.352913202472902,94.94309559939302,1.0,1.0,1.0,10.78789265205509,2.1454692055689067e-5,0.21672998133389726,2.851268763457637e-7
N2,100,0.0025,124079,1280,0,0,0.010210674941567818,7.739238710821332,191.903125,1.0,1.0,1.0,18.764975902745643,1.8123060156372694e-5,0.18845499326961557,1.2539351762568372e-7
N2,200,0.0025,248055,1252,0,0,0.005021920764358803,9.0525165789845,394.547124600639,1.0,1.0,1.0,33.528398669433436,1.5796888221076905e-5,0.16761933900258155,5.606712723656163e-8
N2,400,0.0025,497642,1317,0,0,0.002639495429484186,10.36166561504053,771.2748671222475,1.0,1.0,1.0,60.306160817181144,1.3782798485907004e-5,0.15039270199577265,2.4946056262318694e-8
N2,800,0.0025,998436,1208,0,0,0.00120843020115161,11.62174340668806,1585.78559602649,1.0,1.0,1.0,107.13225849999036,1.2208582019028628e-5,0.13377921398692832,1.1237566430293235e-8
N2,1600,0.0025,1997089,1220,0,0,0.0006105161914398624,13.099163832958872,3214.429508196721,1.0,1.0,1.0,198.2313980292274,1.2260271045870376e-5,0.12424236486768818,5.029110375881577e-9
N2,3200,0.0025,3997636,1222,0,0,0.00030558724515849275,14.436130753275185,6471.410801963993,1.0,1.0,1.0,364.30395880806554,1.0977965299017933e-5,0.11370748464754894,2.2727174911360037e-9
N2,6400,0.0025,7996717,1234,0,0,0.00015428951740264476,15.908161561800924,12578.537277147489,1.0,1.0,1.0,674.498316313518,9.740298910088472e-6,0.10551476949575422,1.0292004965266532e-9
