# 2017-08-14
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.025,0.01,0.005,0.0025]"
# ngens=500000
# burn_in=2.0
# dfe=dfe_disadv
# dfe_str=dfe_disadv alpha_disadv=0.2 theta_disadv=0.5
# dfe_disadv_alpha=0.2
# dfe_disadv_theta=0.5
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
D3,25,0.025,306405,6264,0,6254,0.020033965631386545,4.20682430117002,46.907407407407405,0.9048318824753312,0.9975076533833598,0.9066885456845645,6.232336589125738,0.047016320695575056,0.2729446269314286,0.0016332755769530496
D3,50,0.025,620004,5355,0,5347,0.008563081366063333,4.936427829497874,100.1499533146592,0.9059340654498763,0.998849863632389,0.9067297109899076,9.977017482793554,0.0810306565471755,0.2185777406594447,0.0013791418496453803
D3,100,0.025,1245297,4656,0,4650,0.003724940057746171,5.650540393175283,201.49656357388315,0.9063079683062915,0.9994306470065732,0.9066548447024659,16.181469456983645,0.13883548418489458,0.17725784275264742,0.0011685833203525402
D3,200,0.025,2496437,3885,0,3880,0.0015537998705766698,6.251835315691924,411.5158301158301,0.9066136962386264,0.9997344427468919,0.9067583872425032,26.53552534887143,0.24315285352465105,0.14580314571691588,0.0010196792906945465
D3,400,0.025,4997656,3573,0,3565,0.0007144243944838359,6.7375025411913105,821.832913518052,0.9064917708332372,0.9998621863018243,0.9065584769357733,44.35855970677988,0.4401479274370333,0.12051352071628879,0.0009085678011630836
D3,800,0.025,10004556,2972,0,2965,0.00029697643613887465,7.172197546797679,1662.4609690444145,0.9068149443082256,0.9999359996006868,0.906842599067355,72.70091942568824,0.7740337253571442,0.09978065752190504,0.0008009727230455365
D3,1600,0.025,20003796,2554,0,2545,0.00012765946811887227,7.5803284536594955,3283.3680501174626,0.9067276754717029,0.9999668905660604,0.9067395783403109,121.26082537157951,1.3833477247579113,0.08339840696939303,0.0007136423725818093
D3,3200,0.025,40008773,2248,0,2237,5.618451976019307e-5,7.901294373611508,6580.363434163701,0.906682454364271,0.9999854891744553,0.9066876965504764,205.4047935330581,2.5063320357739474,0.0703367719355796,0.0006415834491088513
D3,6400,0.025,80019872,1992,0,1982,2.48931966893448e-5,8.175156428643126,13182.9578313253,0.906710498562376,0.9999921803684723,0.9067128206416307,347.35375186808875,4.617246385896159,0.059245140329802576,0.0005899398717565459
D3,25,0.01,122698,2442,0,2440,0.019514144158542433,4.216906551044027,47.64250614250614,0.9052795257632982,0.9976325821236351,0.9070817166185955,6.185611338242743,0.07369077150178165,0.2725553693970997,0.0025591832842220127
D3,50,0.01,247873,2133,0,2129,0.008531795236914315,4.919870256139233,100.5391467416784,0.9058579392134045,0.9987969715180648,0.906650876006548,9.962039899494615,0.13043852455311147,0.21784319067627197,0.0021939321421939467
D3,100,0.01,499343,1852,0,1850,0.0036951685471722584,5.587972595991133,201.09179265658747,0.9063626964640825,0.9994687580429421,0.9067067390543812,16.2353761947326,0.2219679409381728,0.17734497146060121,0.0018701254951875733
D3,200,0.01,999286,1564,0,1562,0.0015626717290303242,6.288384906823472,400.20652173913044,0.906295004345709,0.9997393903015841,0.906441027245879,26.414079791971368,0.37497387241964175,0.1461025781275108,0.0015920431187859616
D3,400,0.01,2000682,1418,0,1416,0.0007082563308526047,6.742956651781743,845.6466854724965,0.9068086653665467,0.9998640531498185,0.9068745724340657,44.46844139600708,0.6944144987621091,0.1208883733153527,0.0014366115017465948
D3,800,0.01,4003602,1204,0,1204,0.00030063878250282284,7.148352658431083,1627.9161129568106,0.9067221407154894,0.9999405971931074,0.9067501657987524,72.65409774038994,1.21933345561755,0.09993227718743551,0.001278417481874807
D3,1600,0.01,8005426,1057,0,1054,0.00013201801590036473,7.528102064774567,3266.316934720908,0.9067986598885276,0.9999666872280359,0.9068109597466438,120.6878613461553,2.191493328893134,0.0824045826189049,0.001121718562683239
D3,3200,0.01,16001667,965,0,962,6.03025802255529e-5,7.890638769073247,6720.887046632124,0.9067632201870788,0.9999842124413162,0.9067688416534443,209.97866663131174,4.033574807640047,0.07141001831616577,0.0010409887144286409
D3,6400,0.01,32015107,762,0,758,2.3800697085560915e-5,8.202387860206121,12647.975065616798,0.9067133531906455,0.9999928581739078,0.9067155733078877,339.91919638928397,6.914410205909226,0.05903269635592784,0.0009113567858086144
D3,25,0.005,61397,1266,0,1264,0.02020330976812473,4.158737397592716,47.473143759873615,0.9042429670566007,0.997552154769816,0.9061281214801822,6.234000665747302,0.10600076013816057,0.2730639275920562,0.003660638973460075
D3,50,0.005,124285,1133,0,1132,0.009033791002886348,5.000860924488072,98.78905560458959,0.9061696437344982,0.9987648003520213,0.90700612902726,10.176619038529708,0.18282383959231382,0.22031575164279174,0.003100698266380118
D3,100,0.005,248552,897,0,896,0.0035959254196248533,5.715069683607454,197.68227424749165,0.9065470928974845,0.9993806751835171,0.9068809155358228,16.008179930943108,0.30907739052605915,0.17731471755470052,0.0026533494786415337
D3,200,0.005,499006,771,0,770,0.0015426880388653339,6.246772583896787,424.3229571984436,0.9065378141644354,0.9997215562243728,0.9066815676087275,26.48549906658189,0.5487879491656512,0.14557234319855863,0.002285595504576263
D3,400,0.005,1000377,739,0,737,0.0007381761953659716,6.800002399095541,782.0487144790258,0.9067879656214349,0.9998695778954826,0.9068566762518426,44.18993184743581,0.9423760583543412,0.12099641036647155,0.001979347077374275
D3,800,0.005,2001324,587,0,581,0.0002932198284539123,7.240356883742963,1660.4633730834753,0.9065837158436768,0.9999365767155544,0.9066110887535278,74.06388370585643,1.741384985411995,0.10081924136887185,0.001783902826177007
D3,1600,0.005,4006258,510,0,507,0.00012728463439859756,7.58561555446504,3306.250980392157,0.9066401206870921,0.9999688213034131,0.9066519999966297,124.18316313870994,3.1227628017624975,0.08478001892490444,0.0016166113696310402
D3,3200,0.005,8006719,502,0,500,6.269341135957157e-5,7.898659363467108,6766.768924302789,0.9067176811797073,0.9999831452297139,0.9067235283098112,213.4247327671566,5.738050678759063,0.07198957077950208,0.0014627093808548355
D3,6400,0.005,16020736,373,0,372,2.3281784051278847e-5,8.116811612150652,13153.005361930294,0.9067472649906471,0.9999920848846917,0.9067494358964087,336.2182390409749,10.014156135828328,0.057326739250978025,0.0012815653462860364
D3,25,0.0025,30547,633,0,633,0.02030147530468249,4.2420532294497,45.95260663507109,0.9051646228380033,0.9974703402178995,0.9070385650798735,6.314375748408647,0.15352255526800984,0.27464268733852715,0.0052822114177167
D3,50,0.0025,62113,512,0,510,0.008175648702594811,4.966963437605655,102.65234375,0.9060306118994587,0.9986669580416372,0.9067879741226084,9.86970429638492,0.25899474358133967,0.21755105671728778,0.004382640155734372
D3,100,0.0025,124801,458,0,457,0.0036564238897005405,5.589354251969135,197.32096069868996,0.9063698073983586,0.999398691943278,0.90670996043424,15.652757224626553,0.42294934952632307,0.17435206300037465,0.0036141509815927173
D3,200,0.0025,250131,420,0,418,0.001676305422848043,6.190728058497347,400.5785714285714,0.9061230967800792,0.9997416911577336,0.9062800301375131,26.518986611802863,0.7555913945946426,0.14470741584649774,0.0031726678597227376
D3,400,0.0025,500163,383,0,382,0.0007651644404310493,6.660906544466504,774.3994778067885,0.9066331191980994,0.999888152022506,0.9067044746331069,43.03525365931909,1.2912256028702038,0.11904027800211364,0.002739215408068889
D3,800,0.0025,999840,318,0,316,0.0003179497639372979,7.1512471995519284,1678.861635220126,0.9064016657592638,0.9999353339749338,0.9064314047669939,73.95947543337236,2.475716493248586,0.10012553798585155,0.002529275705153494
D3,1600,0.0025,2003205,269,0,269,0.00013426677860556215,7.575701438444892,3280.4944237918216,0.9066738102893778,0.9999719492443506,0.9066863371299461,123.18423078494291,4.35156159334631,0.08395930932679405,0.002271636526594144
D3,3200,0.0025,4007675,227,0,227,5.663811141090775e-5,7.952107393937882,6542.660792951542,0.9066700516601386,0.9999850514263293,0.9066753368454913,209.89623307649555,7.8284881378125215,0.07182738123668202,0.002061657282968029
D3,6400,0.0025,8016252,203,0,202,2.5322913931407336e-5,8.137515636983467,13490.866995073891,0.9067641582723542,0.9999932740166907,0.9067665191052292,343.9143235039191,13.985021966316777,0.05909656048634177,0.001811562114846563
