# 2017-08-14
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.025,0.01,0.005,0.0025]"
# ngens=500000
# burn_in=2.0
# dfe=dfe_disadv
# dfe_str=dfe_disadv alpha_disadv=0.2 theta_disadv=1.0
# dfe_disadv_alpha=0.2
# dfe_disadv_theta=1.0
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
D2,25,0.025,307881,5489,0,5481,0.01751603535756454,3.802638032226737,47.06904718527965,0.841101050652297,0.9973881399371568,0.8438385808341389,6.182451183313951,0.04911461488456259,0.2727981090485571,0.0017054704541851224
D2,50,0.025,620337,4772,0,4766,0.007633868653306863,4.461568470041284,99.26424979044425,0.8434703228368162,0.9987843559009489,0.8446559697652407,9.904129278868625,0.08478861692728636,0.2173755691197072,0.0014424613749871107
D2,100,0.025,1248257,4092,0,4083,0.0032674597895634523,5.017143104344698,201.56109481915934,0.8435844835968823,0.9994007229069978,0.8440936068933838,15.851056483891577,0.1447404231487688,0.17462459971597713,0.001219161199432974
D2,200,0.025,2498658,3513,0,3501,0.0014039807830879664,5.547576338978764,411.47765442641617,0.8436878903537133,0.9997276366622388,0.8439069671589241,26.03281305560711,0.25606101373103524,0.1428830651413913,0.0010655759356130714
D2,400,0.025,4996278,2892,0,2883,0.0005784960303410366,6.006166990707883,822.8118948824343,0.843804589469101,0.9998638392212146,0.8438948691255811,42.71926548716175,0.45469293703686064,0.11728164080920983,0.000941941403688547
D2,800,0.025,10002281,2585,0,2580,0.00025837427507774716,6.399452484888197,1641.0,0.8439669303146089,0.9999306847454172,0.8440072273366085,71.27661520566986,0.7957653212275742,0.09831248051724617,0.0008338609538955894
D2,1600,0.025,20005738,2244,0,2234,0.00011215523884417729,6.72619530456712,3292.2976827094476,0.843865285221975,0.9999707139324089,0.8438827932636187,119.86344982699136,1.4573885839134073,0.08208426588540929,0.0007522188580047685
D2,3200,0.025,40013016,1922,0,1916,4.80320624262869e-5,7.015848867778425,6656.5,0.8439024645066521,0.9999841239283971,0.8439099614306668,201.21296681626808,2.6374223262561363,0.06914518997481527,0.0006820063313260739
D2,6400,0.025,80011926,1639,0,1631,2.048402667722654e-5,7.251762431015596,12692.209884075655,0.8438929149053782,0.9999922227320807,0.8438961124477672,329.47756907932506,4.5971447292895,0.05720121578455233,0.0005984837722099951
D2,25,0.01,122833,2187,0,2180,0.017493201087825948,3.820154193091433,47.21719250114312,0.8408656886795,0.9975186598460429,0.8436060506051216,6.160201220950035,0.077486846340156,0.27191754971573634,0.0026798127674939145
D2,50,0.01,247709,1936,0,1932,0.007755012117206433,4.452615770924754,97.14617768595042,0.8416818533537908,0.9988460141125448,0.8429006633248688,9.834842466623497,0.131826123622203,0.2163831892103412,0.00224491240692245
D2,100,0.01,497830,1713,0,1710,0.0034291342286850183,5.034047767310126,203.7443082311734,0.8432248525530716,0.9994864405599027,0.8437606945131344,16.22046054903587,0.23386688700445796,0.17647308892121394,0.0019563851397090336
D2,200,0.01,998222,1398,0,1395,0.0013985314419479402,5.581272502509462,410.48497854077254,0.8433942326117405,0.9997232432166171,0.8436128636483579,26.237048646205082,0.3989041474273719,0.14385937266918097,0.001677047717999388
D2,400,0.01,2000855,1198,0,1193,0.0005983857570204186,5.991032833463694,814.1160267111853,0.8436934925273238,0.9998687645360339,0.8437869455856944,42.709471375851216,0.7176089998661628,0.11766927279950502,0.0015027971722772558
D2,800,0.01,3999691,1031,0,1027,0.00025770348452104397,6.406760172223304,1705.8748787584868,0.8437811310709256,0.9999370241652155,0.8438213729887059,72.99466641211244,1.3206565146546707,0.10008755730365956,0.0013635412871379243
D2,1600,0.01,8000897,928,0,926,0.00011597354353538099,6.728928643875806,3341.581896551724,0.8439384331128991,0.9999708565901692,0.8439565287459563,120.71468506529322,2.293312580171285,0.08255318613607096,0.0011745272051036284
D2,3200,0.01,16005259,814,0,810,5.0855697084475375e-5,6.966157935963423,6595.404176904177,0.8437934398819009,0.9999844587617162,0.8438013830850422,198.93672179347962,4.082684061183244,0.06840899875591787,0.001056546481372145
D2,6400,0.01,32013566,609,0,605,1.9022823483659973e-5,7.241699065952228,12835.04433497537,0.8439093020844876,0.999992772410467,0.8439122712327918,327.29038904218453,7.3027593937741235,0.05673994735204606,0.0009412316703490892
D2,25,0.005,61432,1068,0,1067,0.017088,3.7445793723141034,47.5,0.8410744753785985,0.9973992309663723,0.8437457528020844,6.096125969220029,0.10826269482223397,0.2714822753386595,0.0037506935732423974
D2,50,0.005,123522,919,0,917,0.007385025835536519,4.466435128964881,94.44178454842219,0.8426849206860049,0.9988364483966797,0.843838103752408,9.670863514984456,0.18370738380839022,0.21435552290920454,0.0031232925820826145
D2,100,0.005,249236,806,0,805,0.0032234584589788916,4.961867466979088,201.70843672456576,0.8435046106944187,0.9994186045545594,0.8440071929768017,15.584033051921276,0.32146901678814754,0.17267631614874923,0.0027083140801336526
D2,200,0.005,500467,757,0,755,0.0015103027787975037,5.567817658307141,394.2562747688243,0.8433061930186514,0.9997450705529883,0.8435424630901044,26.119629389155975,0.559036321560115,0.14335222416079083,0.0023633534429626517
D2,400,0.005,999759,557,0,555,0.0005568240436022217,6.011867860154297,814.3877917414721,0.8442886928455678,0.9998868294807993,0.8443753336291875,41.53930897320605,0.9721272096716929,0.11657957724824453,0.002052949025017897
D2,800,0.005,1999125,516,0,515,0.0002580463193143169,6.350609891827674,1689.6162790697674,0.8438197668355772,0.999931485029503,0.8438600508898598,70.29505638656481,1.7951567625000853,0.09688467925781924,0.0018587613340556414
D2,1600,0.005,4002441,482,0,480,0.00012041200892447844,6.691192199959975,3231.8817427385893,0.8437886601833878,0.9999656551392395,0.8438074657691002,119.52884075931189,3.179329184967033,0.08197516475197343,0.0016659119211999915
D2,3200,0.005,8006694,408,0,408,5.095476490745341e-5,7.013365191675865,6458.098039215686,0.8439922112628514,0.9999829783130306,0.8440001597357139,202.7715082435893,5.846224001398174,0.06951157301103851,0.0015139118479462518
D2,6400,0.005,16013464,325,0,322,2.0295009507119147e-5,7.256685499152463,13278.713846153847,0.8438488656166924,0.999992373848815,0.843852034550677,340.0127832787342,11.056250747375541,0.058113834415610445,0.0014290508613210246
D2,25,0.0025,30792,555,0,555,0.017705043544836825,3.783060535203949,45.08108108108108,0.8423553661921392,0.9973744665759189,0.8450999861147138,6.182625717273935,0.1533426330185324,0.2726580546682957,0.005346631686319674
D2,50,0.0025,62246,502,0,502,0.008000254988206796,4.35976608938727,99.27091633466135,0.8432155246547183,0.9989228779373155,0.8444612231845177,9.92107704568945,0.27053633377297953,0.2150185248370888,0.004496030276579168
