# 2017-08-14
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.025,0.01,0.005,0.0025]"
# ngens=500000
# burn_in=2.0
# dfe=NeutralCulturalEvolution.dfe_neutral
# dfe_str=dfe_neutral
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
N2,25,0.025,299620,12451,0,0,0.03989797193587357,5.034723983712703,46.17781704280781,1.0,1.0,1.0,7.054382509129027,0.04499296120118247,0.28662723694767617,0.0015134424706818213
N2,50,0.025,612916,12593,0,0,0.020132404170043916,6.29964138642163,96.26903835464147,1.0,1.0,1.0,11.99551115637492,0.07617058381467823,0.24134935419896522,0.0012588237727778923
N2,100,0.025,1237856,12463,0,0,0.00996785620309697,7.679707494248119,197.15734574340047,1.0,1.0,1.0,20.705245285176368,0.13133492977980354,0.20835420050835576,0.001084326716847224
N2,200,0.025,2488068,12543,0,0,0.0050159740959309545,9.007996967928529,398.14884796300726,1.0,1.0,1.0,36.44639466783233,0.23139494276867653,0.1826968346401709,0.0009518608154703449
N2,400,0.025,4984760,12363,0,0,0.002474023553152484,10.367335839639221,793.6232306074577,1.0,1.0,1.0,64.27324747201772,0.40714679783802127,0.1614231752857598,0.0008345202303648718
N2,800,0.025,9991818,12501,0,0,0.0012495603148999948,11.749232321885767,1597.377489800816,1.0,1.0,1.0,116.34009142517642,0.7348283476351882,0.14589355731918452,0.0007529285119146864
N2,1600,0.025,19996809,12545,0,0,0.0006269567723175871,13.073613645057069,3179.4646472698287,1.0,1.0,1.0,210.4848828097248,1.332332922332267,0.13162102899831984,0.00067971095303
N2,3200,0.025,39990700,12538,0,0,0.00031342462827634103,14.472614732925406,6375.005184239911,1.0,1.0,1.0,386.45495586594285,2.4381088590568503,0.12068673349958448,0.0006214875156748999
N2,6400,0.025,80011101,12073,0,0,0.0001508687970812055,15.774199645121744,12656.113393522737,1.0,1.0,1.0,698.2855342852605,4.461784890243407,0.10971013070700326,0.0005709231136130144
N2,25,0.01,119715,4890,0,0,0.03924401107499699,4.94091801361567,45.70654396728016,1.0,1.0,1.0,6.9698186641341735,0.07044444510759579,0.2847376692471266,0.002371024255638666
N2,50,0.01,246295,5031,0,0,0.020017825453793082,6.296420958606549,95.54263565891473,1.0,1.0,1.0,11.91380549478895,0.11908166800018155,0.2411578760412274,0.0019841464878376028
N2,100,0.01,495335,5052,0,0,0.010096185552382456,7.662365873600694,193.97209026128266,1.0,1.0,1.0,20.654457598706703,0.20517427454257872,0.20815389196965997,0.0016993739462215552
N2,200,0.01,994946,4882,0,0,0.004882839848453934,9.0100638627624,398.89758295780416,1.0,1.0,1.0,35.973466783419454,0.36401799714122507,0.18134312054913745,0.0014963956191190425
N2,400,0.01,1997833,5042,0,0,0.0025173812644323783,10.349976199211847,802.3460928203094,1.0,1.0,1.0,64.8131834008664,0.6487157853463131,0.1619059048540416,0.0013244468056012478
